sample_id,cluster
MI_001_H,20
MI_002_H,3
MI_003_H,5
MI_004_H,2
MI_005_H,29
MI_006_H,6
MI_007_H,22
MI_008_H1,3
MI_009_H,33
MI_010_H,22
MI_011_H,17
MI_012_H,0
MI_013_H,11
MI_014_H,24
MI_015_H,22
MI_016_H,14
MI_017_H,12
MI_018_H,18
MI_019_H,12
MI_020_H,20
MI_021_H,6
MI_022_H,12
MI_023_H,10
MI_024_H,3
MI_025_H,12
MI_026_H,32
MI_027_H,18
MI_028_H,1
MI_029_H,28
MI_030_H,12
MI_031_H,19
MI_032_H,29
MI_033_H,1
MI_034_H,23
MI_035_H,3
MI_036_H,11
MI_037_H,1
MI_038_H,23
MI_039_H,14
MI_040_H,20
MI_041_H,15
MI_042_H,3
MI_043_H,30
MI_044_H,32
MI_045_H,25
MI_046_H,26
MI_047_H,4
MI_048_H,6
MI_049_H,6
MI_050_H,6
MI_051_H,25
MI_052_H,3
MI_053_H,32
MI_054_H,3
MI_055_H,7
MI_056_H,4
MI_057_H,10
MI_058_H,3
MI_059_H,29
MI_060_H,27
MI_061_H,17
MI_062_H,28
MI_063_H,4
MI_064_H,1
MI_065_H,10
MI_066_H,30
MI_067_H,24
MI_068_H,29
MI_069_H,3
MI_070_H,17
MI_071_H,14
MI_072_H,24
MI_073_H,3
MI_074_H,28
MI_075_H,5
MI_076_H,12
MI_077_H,5
MI_078_H,9
MI_079_H,3
MI_080_H,6
MI_081_H,6
MI_082_H,17
MI_083_H,25
MI_084_H,9
MI_085_H,20
MI_086_H,5
MI_087_H,27
MI_088_H,27
MI_089_H,24
MI_090_H,3
MI_091_H,2
MI_092_H,12
MI_093_H1,11
MI_094_H,8
MI_095_H,0
MI_096_H,20
MI_097_H,12
MI_098_H,8
MI_099_H,11
MI_100_H,5
MI_101_H,7
MI_102_H,5
MI_103_H,7
MI_104_H,22
MI_105_H,12
MI_106_H,28
MI_107_H,4
MI_108_H,4
MI_109_H,5
MI_110_H,12
MI_111_H,8
MI_112_H,3
MI_113_H,24
MI_114_H,8
MI_115_H,6
MI_116_H,3
MI_117_H,15
MI_118_H,11
MI_119_H,6
MI_120_H,24
MI_122_H,18
MI_123_H,32
MI_124_H,15
MI_125_H,11
MI_126_H,15
MI_127_H,11
MI_128_H,20
MI_129_H,12
MI_130_H1,33
MI_131_H,15
MI_132_H,4
MI_133_H,7
MI_134_H,4
MI_135_H,19
MI_136_H,19
MI_137_H,15
MI_138_H,7
MI_139_H,18
MI_140_H,6
MI_141_H,28
MI_142_H,4
MI_143_H,7
MI_144_H,1
MI_145_H,20
MI_146_H,16
MI_147_H,8
MI_148_H,4
MI_149_H,17
MI_150_H,25
MI_151_H,12
MI_152_H,9
MI_153_H,3
MI_154_H,22
MI_155_H,4
MI_156_H,4
MI_157_H,11
MI_158_H,13
MI_159_H,22
MI_160_H,6
MI_161_H,14
MI_162_H,18
MI_163_H,10
MI_164_H,11
MI_165_H,9
MI_166_H,4
MI_167_H,3
MI_168_H,29
MI_169_H,18
MI_170_H,11
MI_171_H,31
MI_172_H,32
MI_173_H,26
MI_174_H,20
MI_175_H,23
MI_176_H,29
MI_177_H,26
MI_178_H,10
MI_179_H,4
MI_180_H,24
MI_181_H,6
MI_182_H,33
MI_183_H,28
MI_184_H,12
MI_185_H,18
MI_186_H,2
MI_187_H,25
MI_188_H,13
MI_189_H,4
MI_190_H,4
MI_191_H,10
MI_192_H,24
MI_193_H,15
MI_194_H,14
MI_195_H,17
MI_196_H,5
MI_197_H,9
MI_198_H1,15
MI_199_H,16
MI_200_H,15
MI_201_H,17
MI_202_H,20
MI_203_H,12
MI_204_H,9
MI_205_H,18
MI_206_H,18
MI_207_H,29
MI_208_H,27
MI_209_H,4
MI_210_H,22
MI_211_H,32
MI_212_H,18
MI_213_H,15
MI_214_H,2
MI_215_H,27
MI_216_H,19
MI_217_H,12
MI_218_H,19
MI_219_H,3
MI_220_H,20
MI_221_H,31
MI_222_H,0
MI_223_H,10
MI_224_H,4
MI_225_H,27
MI_226_H,11
MI_227_H,24
MI_228_H,18
MI_229_H,8
MI_230_H,8
MI_232_H,13
MI_233_H,25
MI_234_H,21
MI_235_H,6
MI_236_H,15
MI_237_H,17
MI_238_H,24
MI_239_H,20
MI_240_H,12
MI_241_H,4
MI_242_H,23
MI_243_H,32
MI_244_H,29
MI_245_H,2
MI_246_H,27
MI_247_H,6
MI_248_H,11
MI_249_H,33
MI_250_H,8
MI_251_H,33
MI_252_H,3
MI_253_H,26
MI_254_H,1
MI_255_H,10
MI_256_H,15
MI_257_H,22
MI_258_H,24
MI_259_H,9
MI_260_H,33
MI_261_H,29
MI_262_H,23
MI_263_H,24
MI_264_H,25
MI_265_H,14
MI_266_H,24
MI_267_H,33
MI_269_H,25
MI_270_H,8
MI_271_H,8
MI_273_H,19
MI_274_H,4
MI_275_H,18
MI_276_H,8
MI_277_H,25
MI_278_H,25
MI_279_H,4
MI_280_H,18
MI_281_H,28
MI_282_H,18
MI_283_H,24
MI_284_H,4
MI_285_H,2
MI_286_H,24
MI_287_H,29
MI_288_H,4
MI_289_H,3
MI_290_H,26
MI_291_H,27
MI_292_H,26
MI_293_H,28
MI_294_H,13
MI_295_H,4
MI_296_H,2
MI_297_H,21
MI_298_H,12
MI_299_H,32
MI_300_H,27
MI_301_H,7
MI_302_H,8
MI_303_H,9
MI_304_H,32
MI_305_H,4
MI_306_H,32
MI_307_H,15
MI_308_H,6
MI_309_H,24
MI_310_H,5
MI_311_H,24
MI_312_H,26
MI_313_H,29
MI_314_H,24
MI_315_H,25
MI_316_H,25
MI_317_H,17
MI_318_H,2
MI_319_H,27
MI_320_H,19
MI_321_H,12
MI_322_H,15
MI_323_H,24
MI_324_H,11
MI_325_H,8
MI_326_H,6
MI_327_H,3
MI_328_H,8
MI_329_H,17
MI_330_H,12
MI_331_H,12
MI_332_H,4
MI_333_H,18
MI_334_H,30
MI_335_H,5
MI_336_H,14
MI_337_H,6
MI_338_H,31
MI_339_H,16
MI_340_H,27
MI_341_H,6
MI_342_H,22
MI_343_H,17
MI_344_H,28
MI_345_H,27
MI_346_H,24
MI_347_H,2
MI_348_H,18
MI_349_H,16
MI_350_H,7
MI_351_H,2
MI_352_H,24
MI_353_H,0
MI_354_H,15
MI_355_H,20
MI_356_H,28
MI_357_H,5
MI_358_H,29
MI_359_H,0
MI_360_H,15
MI_361_H,4
MI_363_H,17
MI_364_H,24
MI_365_H,3
MI_366_H,0
MI_367_H,20
MI_368_H,3
MI_369_H,4
MI_370_H,20
MI_371_H,28
MI_372_H,33
MI_373_H,24
MI_374_H,31
MI_375_H,6
MI_376_H,14
MI_377_H,15
MI_380_H,17
MI_381_H,15
MI_382_H,2
MI_383_H,18
MI_384_H,7
MI_385_H,5
MI_386_H,26
MI_388_H,15
MI_389_H,29
MI_390_H,25
MI_391_H,11
MI_392_H,3
MI_393_H,29
MI_394_H,24
MI_395_H,5
MI_396_H,24
MI_397_H,15
MI_398_H,26
MI_399_H,18
MI_400_H,0
MI_401_H,5
MI_403_H,10
MI_404_H,34
MI_405_H,3
MI_406_H,8
MI_408_H,23
MI_409_H,14
MI_410_H,3
MI_411_H,8
MI_412_H,6
MI_413_H,30
MI_414_H,20
MI_415_H,26
MI_416_H,28
MI_417_H,3
MI_418_H,26
MI_419_H,31
MI_420_H,24
MI_421_H,32
MI_423_H,8
MI_424_H,18
MI_425_H,33
MI_426_H,8
MI_427_H,30
MI_430_H,14
MI_431_H,8
MI_433_H,3
MI_434_H,27
MI_435_H,16
MI_436_H,15
MI_437_H,13
MI_438_H,27
MI_439_H,19
MI_440_H,22
MI_442_H,5
MI_444_H,34
MI_445_H,13
MI_446_H,24
MI_447_H,9
MI_449_H,4
MI_450_H,19
MI_451_H,20
MI_452_H,29
MI_453_H,24
MI_454_H,11
MI_455_H,12
MI_456_H,16
MI_458_H1,4
MI_459_H,2
